spellID	spellName	mpCost	castTime	recastTime
1	Cure		8	2.00	5	5
2	CureII		24	2.25	5.5	5.5
3	CureIII		46	2.50	6	6
4	CureIV		88	2.50	8	8
5	CureV		135	2.50	10	10
6	CureVI		225	3.25	6.25	6.25
7	Curaga		60	4.50	10	10
8	CuragaII	120	4.75	10.25	10.25
9	CuragaIII	180	5.00	10.5	10.5
10	CuragaIV	260	5.25	10.75	10.75
11	CuragaV		450	5.50	11	11
12	Raise		150	15.00	60	60
13	RaiseII		150	14.00	60	60
14	Poisona		8	1.00	5	5
15	Paralyna	12	1.00	5	5
16	Blindna		16	3.00	10	10
17	Silena		24	1.00	5	5
18	Stona		40	1.00	5	5
19	Viruna		48	1.00	5	5
20	Cursna		30	3.00	10	10
21	Holy		100	0.75	60	60
22	HolyII		200	1.25	60	60
23	Dia		7	1.00	5	5
24	DiaII		30	1.50	6	6
25	DiaIII		45	2.00	7	7
26	DiaIV		164	2.50	8	8
27	DiaV		214	3.00	9	9
28	Banish		15	4.00	20	20
29	BanishII	57	2.50	21	21
30	BanishIII	96	3.00	45	45
31	BanishIV	108	5.75	45	45
32	BanishV		159	7.50	60	60
33	Diaga		12	1.50	6	6
34	DiagaII		60	1.75	6.25	6.25
35	DiagaIII	120	2.00	6.5	6.5
36	DiagaIV		180	2.25	6.75	6.75
37	DiagaV		240	2.50	7	7
38	Banishga	41	5.00	30	30
39	BanishgaII	120	5.25	31	31
40	BanishgaIII	233	6.50	45	45
41	BanishgaIV	380	5.75	60	60
42	BanishgaV	563	6.00	60	60
43	Protect		9	1.00	5	5
44	ProtectII	28	1.25	5.25	5.25
45	ProtectIII	46	1.50	5.5	5.5
46	ProtectIV	65	1.75	5.75	5.75
47	ProtectV	84	2.00	6	6
48	Shell		18	1.00	5	5
49	ShellII		37	1.25	5.25	5.25
50	ShellIII	56	1.50	5.5	5.5
51	ShellIV		75	1.75	5.75	5.75
52	ShellV		93	2.00	6	6
53	Blink		20	10.00	10	10
54	Stoneskin	29	10.00	30	30
55	Aquaveil	12	7.00	10	10
56	Slow		15	2.00	20	20
57	Haste		40	3.00	20	20
58	Paralyze	6	3.00	10	10
59	Silence		16	3.00	10	10
60	Barfire		6	0.50	10	10
61	Barblizzard	6	0.50	10	10
62	Baraero		6	0.50	10	10
63	Barstone	6	0.50	10	10
64	Barthunder	6	0.50	10	10
65	Barwater	6	0.50	10	10
66	Barfira		12	0.50	10	10
67	Barblizzara	12	0.50	10	10
68	Baraera		12	0.50	10	10
69	Barstonra	12	0.50	10	10
70	Barthundra	12	0.50	10	10
71	Barwatera	12	0.50	10	10
72	Barsleep	7	2.50	10	10
73	Barpoison	9	2.50	10	10
74	Barparalyze	11	2.50	10	10
75	Barblind	13	2.50	10	10
76	Barsilence	15	2.50	10	10
77	Barpetrify	20	2.50	10	10
78	Barvirus	25	2.50	10	10
79	SlowII		45	3.00	20	20
80	ParalyzeII	36	3.00	20	20
81	Recall-Jugner	125	20.00	10	10
82	Recall-Pashh	125	20.00	10	10
83	Recall-Meriph	125	20.00	10	10
86	Barsleepra	14	5.00	10	10
87	Barpoisonra	18	5.00	10	10
88	Barparalyzra	22	5.00	10	10
89	Barblindra	26	5.00	10	10
90	Barsilencera	30	5.00	10	10
91	Barpetra	40	5.00	10	10
92	Barvira		50	5.00	10	10
93	Cura		30	5.00	30	30
94	Sacrifice	18	5.00	30	30
