---Item List as of 04/09/2009---
Tools: POLutils (thanks Pebbles)
Organizer: Blasingame

Notes: If you find any missing items on this list please notify dev or myself on http://www.projectxi.org/forums/.

Table of Contents:
1. General Items	[GI1]
2. Usable Items		[UI2]
3. Puppet Items		[PI3]
4. Armor		[AR4]
5. Weapons		[WE5]


<<<General Items>>>
[GI1]

Hex ID:  List#:	Name:
_______________________________

00000001 (1)	pile of chocobo bedding
00000002 (2)	simple bed
00000003 (3)	oak bed
00000004 (4)	mahogany bed
00000005 (5)	bronze bed
00000006 (6)	noble's bed
00000007 (7)	gold bed
00000008 (8)	royal bed
00000015 (21)	desk
00000016 (22)	workbench
00000017 (23)	maple table
00000018 (24)	oak table
0000001A (26)	Tarutaru desk
0000001C (28)	drawing desk
0000001D (29)	secretaire
0000001E (30)	bureau
00000020 (32)	dresser
00000021 (33)	millionaire desk
0000002B (43)	wicker box
0000002E (46)	armor box
00000031 (49)	coffer
00000033 (51)	chest
00000037 (55)	cabinet
00000038 (56)	commode
00000039 (57)	cupboard
0000003B (59)	chiffonier
0000003D (61)	armoire
0000004C (76)	royal bookshelf
0000004D (77)	bookshelf
00000056 (86)	San d'Orian holiday tree
00000057 (87)	kadomatsu
00000058 (88)	timepiece
00000059 (89)	wastebasket
0000005A (90)	rusty bucket
0000005B (91)	blue pitcher
0000005C (92)	Tarutaru stool
0000005D (93)	water cask
0000005F (95)	water barrel
00000060 (96)	beverage barrel
00000061 (97)	bookholder
00000062 (98)	scimitar cactus
00000063 (99)	Elshimo palm
00000066 (102)	flower stand
00000067 (103)	goldfish bowl
00000068 (104)	Tarutaru folding screen
00000069 (105)	sky pot
0000006A (106)	red jar
0000006B (107)	water jug
0000006D (109)	urn
0000006E (110)	white jar
00000070 (112)	yellow jar
00000071 (113)	cleaning tool set
00000072 (114)	My First Magic Kit
00000073 (115)	Bastokan holiday tree
00000074 (116)	Windurstian holiday tree
00000075 (117)	wing egg
00000076 (118)	lamp egg
00000077 (119)	flower egg
00000078 (120)	freshwater aquarium
00000079 (121)	saltwater aquarium
0000007A (122)	amir bed
0000007B (123)	athenienne
0000007C (124)	wardrobe
0000007D (125)	reliquary
0000007E (126)	Falsiam vase
0000007F (127)	coffee table
00000080 (128)	console
00000081 (129)	Imperial standard
00000082 (130)	marble bed
00000083 (131)	stationery set
00000084 (132)	tableware set
00000085 (133)	tea set
00000086 (134)	copy of "Emeralda"
00000087 (135)	magic tome set
00000088 (136)	set of Kaiserin Cosmetics
00000089 (137)	Cordon Bleu cooking set
0000008B (139)	star globe
0000008C (140)	dream platter
0000008D (141)	dream coffer
0000008E (142)	Drogaroga's fang
0000008F (143)	ngoma
00000090 (144)	caisson
00000091 (145)	thurible
00000092 (146)	Walahra burner
00000093 (147)	Imperial tapestry
00000094 (148)	cartonnier
00000095 (149)	set of alchemist's tools
00000096 (150)	leather pot
00000097 (151)	stack of fool's gold
00000098 (152)	flowerpot
00000099 (153)	mastersmith anvil
0000009A (154)	miniature airship
0000009B (155)	dream stocking
000000B0 (176)	snowman knight
000000B1 (177)	snowman miner
000000B2 (178)	snowman mage
000000B3 (179)	jeweled egg
000000B4 (180)	bonbori
000000B5 (181)	San d'Orian flag
000000B6 (182)	Bastokan flag
000000B7 (183)	Windurstian flag
000000B8 (184)	Jeunoan flag
000000B9 (185)	rook banner
000000BA (186)	shield plaque
000000BB (187)	buckler plaque
000000BC (188)	copy of "Acolyte's Grief"
000000BD (189)	copy of "Autumn's End in Gustaberg"
000000BE (190)	copy of "Lines and Space"
000000BF (191)	fishing hole map
000000C0 (192)	copy of "Hoary Spire"
000000C1 (193)	adventuring certificate
000000C2 (194)	blacksmith's plaque
000000C3 (195)	stuffed "big one"
000000C4 (196)	melodious egg
000000C5 (197)	clockwork egg
000000C6 (198)	gilt tapestry
000000C7 (199)	hatchling egg
000000C8 (200)	Tsahyan mask
000000C9 (201)	totem pole
000000CA (202)	golden fleece
000000CB (203)	bomb lantern
000000CC (204)	pumpkin lantern
000000CD (205)	mandragora lantern
000000CE (206)	copy of "Ancient Blood"
000000CF (207)	fire lamp
000000D0 (208)	ice lamp
000000D1 (209)	wind lamp
000000D2 (210)	earth lamp
000000D3 (211)	lightning lamp
000000D4 (212)	water lamp
000000D5 (213)	light lamp
000000D6 (214)	dark lamp
000000D7 (215)	set of festival dolls
000000D8 (216)	porcelain flowerpot
000000D9 (217)	brass flowerpot
000000DA (218)	earthen flowerpot
000000DB (219)	ceramic flowerpot
000000DC (220)	wooden flowerpot
000000DD (221)	arcane flowerpot
000000DE (222)	fighting fish tank
000000DF (223)	river aquarium
000000E0 (224)	bay aquarium
000000E1 (225)	reef aquarium
000000F6 (246)	Blackhorn
000000F7 (247)	Stripehorn
000000F8 (248)	Whitehorn
00000100 (256)	Hume ? mannequin
00000101 (257)	Hume ? mannequin
00000102 (258)	Elvaan ? mannequin
00000103 (259)	Elvaan ? mannequin
00000104 (260)	Tarutaru ? mannequin
00000105 (261)	Tarutaru ? mannequin
00000106 (262)	Mithra mannequin
00000107 (263)	Galka mannequin
00000108 (264)	stuffed chocobo
00000109 (265)	adamantoise statue
0000010A (266)	behemoth statue
0000010B (267)	Fafnir statue
0000010C (268)	nomad moogle statue
0000012F (303)	Crystal Stakes gold cup
00000130 (304)	Crystal Stakes mythril cup
00000131 (305)	Crystal Stakes bronze cup
00000133 (307)	mythril trophy
00000134 (308)	bronze trophy
00000135 (309)	yellow VCS plaque
00000136 (310)	black VCS plaque
00000137 (311)	red VCS plaque
00000138 (312)	blue VCS plaque
00000139 (313)	green VCS plaque
0000013A (314)	9-drawer almirah
0000013B (315)	6-drawer almirah
0000013C (316)	3-drawer almirah
0000013D (317)	bronze rose
0000013E (318)	crystal rose
0000013F (319)	shell lamp
00000140 (320)	harpsichord
00000141 (321)	mythril bell
00000142 (322)	horn trophy
00000143 (323)	sprig of red bamboo grass
00000144 (324)	sprig of blue bamboo grass
00000145 (325)	sprig of green bamboo grass
00000146 (326)	yellow hobby bo
00000147 (327)	red hobby bo
00000148 (328)	black hobby bo
00000149 (329)	blue hobby bo
0000014A (330)	green hobby bo
0000014B (331)	winged altar
0000014C (332)	winged plaque
0000014D (333)	winged balance
0000014E (334)	blacksmith's signboard
0000014F (335)	goldsmith's signboard
00000150 (336)	boneworker's signboard
00000151 (337)	weaver's signboard
00000152 (338)	culinarian's signboard
00000153 (339)	tanner's signboard
00000154 (340)	fisherman's signboard
00000155 (341)	carpenter's signboard
00000156 (342)	alchemist's signboard
00000157 (343)	harp stool
00000159 (345)	San d'Orian marriage certificate
0000015A (346)	Bastokan marriage certificate
0000015B (347)	Windurstian marriage certificate
0000015D (349)	Royal Squire's bunk
0000015E (350)	Republican Legionnaire's bedding
0000015F (351)	Federal Mercenary's hammock
00000160 (352)	half partition
00000165 (357)	partition
00000166 (358)	credenza
00000167 (359)	bahut
00000168 (360)	matka
00000169 (361)	gallipot
0000016A (362)	fluoro-flora
0000016B (363)	amigo cactus
0000016C (364)	amiga cactus
00000170 (368)	San d'Orian tea set
00000171 (369)	Bastokan tea set
00000172 (370)	Windurstian tea set
00000176 (374)	parclose
00000177 (375)	CS gold stand
00000178 (376)	CS mythril stand
00000179 (377)	CS bronze stand
0000017A (378)	blue 9-drawer almirah
0000017B (379)	blue 6-drawer almirah
0000017C (380)	blue 3-drawer almirah
0000017D (381)	green 9-drawer almirah
0000017E (382)	green 6-drawer almirah
0000017F (383)	green 3-drawer almirah
00000180 (384)	yellow 9-drawer almirah
00000181 (385)	yellow 6-drawer almirah
00000182 (386)	yellow 3-drawer almirah
00000183 (387)	white 9-drawer almirah
00000184 (388)	white 6-drawer almirah
00000185 (389)	white 3-drawer almirah
00000192 (402)	blue noble's bed
00000193 (403)	green noble's bed
00000194 (404)	yellow noble's bed
00000195 (405)	white noble's bed
0000019A (410)	red round table
0000019B (411)	blue round table
0000019C (412)	green round table
0000019D (413)	yellow round table
0000019E (414)	white round table
0000019F (415)	aldebaran horn
000001AD (429)	red storm lantern
000001AE (430)	blue storm lantern
000001AF (431)	green storm lantern
000001B0 (432)	yellow storm lantern
000001B1 (433)	white storm lantern
000001C3 (451)	egg stool
000001C4 (452)	egg table
000001C5 (453)	egg locker
000001C6 (454)	egg lantern
000001C7 (455)	egg buffet
000001CD (461)	buffalo milk case
000001D8 (472)	broken single-hook fishing rod
000001D9 (473)	broken composite fishing rod
000001DA (474)	red chip
000001DB (475)	blue chip
000001DC (476)	yellow chip
000001DD (477)	green chip
000001DE (478)	clear chip
000001DF (479)	purple chip
000001E0 (480)	white chip
000001E1 (481)	black chip
000001E2 (482)	broken clothespole
000001E3 (483)	broken Mithran fishing rod
000001E4 (484)	broken Tarutaru fishing rod
000001E5 (485)	broken willow fishing rod
000001E6 (486)	broken yew fishing rod
000001E7 (487)	broken bamboo fishing rod
000001E8 (488)	broken fastwater fishing rod
000001E9 (489)	broken Lu Shang's fishing rod
000001EA (490)	broken carbon fishing rod
000001EB (491)	broken glass fiber fishing rod
000001EC (492)	canteen of Drachenfall water
000001ED (493)	brass canteen
000001EE (494)	Quadav augury shell
000001EF (495)	Quadav charm
000001F0 (496)	Quadav chestplate
000001F1 (497)	Gigas socks
000001F2 (498)	Yagudo bead necklace
000001F3 (499)	Gigas necklace
000001F4 (500)	polar fir sapling
000001F5 (501)	Quadav helm
000001F6 (502)	Garlaige key
000001F7 (503)	pinch of Valkurm sunsand
000001F8 (504)	Rhinostery canteen
000001F9 (505)	sheepskin
000001FA (506)	square of coeurl leather
000001FB (507)	Goblin mail
000001FC (508)	Goblin helm
000001FD (509)	Orc mask
000001FE (510)	Goblin armor
000001FF (511)	Goblin mask
00000200 (512)	new linkshell
00000201 (513)	linkshell
00000202 (514)	pearlsack
00000203 (515)	linkpearl
00000204 (516)	ripped pearlsack
00000205 (517)	broken linkpearl
00000207 (519)	linkshell
00000208 (520)	linkshell
00000209 (521)	linkshell
0000020A (522)	linkshell
0000020B (523)	linkshell
0000020C (524)	linkshell
0000020D (525)	linkshell
0000020E (526)	linkshell
0000020F (527)	linkshell
00000210 (528)	linkshell
00000211 (529)	luminicloth
00000212 (530)	copy of the castle floor plans
00000213 (531)	lanolin cube
00000214 (532)	Magicmart flyer
00000215 (533)	chunk of Derfland humus
00000216 (534)	clump of Gausebit wildgrass
00000217 (535)	engraved key
00000218 (536)	adventurer coupon
00000219 (537)	damselfly worm
0000021A (538)	magicked skull
0000021B (539)	crab apron
0000021C (540)	bloody robe
0000021D (541)	cup of dhalmel saliva
0000021E (542)	wild rabbit tail
0000021F (543)	rusty key
00000220 (544)	pile of answer sheets
00000221 (545)	shelling piece
00000222 (546)	Starfall tear
00000223 (547)	tomb guard's waterskin
00000224 (548)	Tenshodo invite
00000225 (549)	Delkfutt key
00000226 (550)	steam clock
00000227 (551)	bruised starfruit
00000228 (552)	lock of Hiwon's hair
00000229 (553)	Dangruf stone
0000022A (554)	gold Orcmask
0000022B (555)	clock tower petition
0000022C (556)	divination sphere
0000022D (557)	Ahriman lens
0000022E (558)	Tarut card: the Fool
0000022F (559)	Tarut card: Death
00000230 (560)	pinch of Zeruhn soot
00000231 (561)	Tarut card: the King
00000232 (562)	Tarut card: the Hermit
00000233 (563)	chunk of glocolite
00000234 (564)	sack of fingernails
00000235 (565)	sack of teeth
00000236 (566)	Goblin cup
00000237 (567)	skin of well water
00000238 (568)	Goblin die
00000239 (569)	dish of Gusgen clay
0000023A (570)	clay tablet
0000023B (571)	lump of Selbina clay
0000023C (572)	bag of herb seeds
0000023D (573)	bag of vegetable seeds
0000023E (574)	bag of fruit seeds
0000023F (575)	bag of grain seeds
00000240 (576)	Siren's Tear
00000241 (577)	brass key
00000242 (578)	eagle button
00000243 (579)	gilt glasses
00000244 (580)	bronze box
00000245 (581)	starfruit
00000246 (582)	meteorite
00000247 (583)	smooth stone
00000248 (584)	torn epistle
00000249 (585)	muddy bar tab
0000024A (586)	odd postcard
0000024B (587)	damp envelope
0000024C (588)	copy of "Art for Everyone"
0000024D (589)	copy of Koru-Moru's Thesis
0000024E (590)	sailor's cap
0000024F (591)	ripped cap
00000250 (592)	supplies order
00000251 (593)	parcel for the magic shop
00000252 (594)	parcel for the auction house
00000253 (595)	parcel for the pub
00000254 (596)	Quadav backplate
00000255 (597)	chunk of mine gravel
00000256 (598)	sharp stone
00000257 (599)	onz of mythril sand
00000258 (600)	dose of ointment
00000259 (601)	ointment case
0000025A (602)	blessed waterskin
0000025B (603)	skin of Cheval River water
0000025C (604)	vatical fragment
0000025D (605)	pickaxe
0000025E (606)	Quadav fetich head
0000025F (607)	Quadav fetich torso
00000260 (608)	Quadav fetich arms
00000261 (609)	Quadav fetich legs
00000262 (610)	bag of San d'Orian flour
00000263 (611)	bag of rye flour
00000264 (612)	bunch of Kazham peppers
00000265 (613)	faded crystal
00000266 (614)	bulb of Mhaura garlic
00000267 (615)	stick of Selbina butter
00000268 (616)	piece of pie dough
00000269 (617)	ginger root
0000026A (618)	pod of blue peas
0000026B (619)	popoto
0000026C (620)	box of Tarutaru rice
0000026D (621)	pot of crying mustard
0000026E (622)	pinch of dried marjoram
0000026F (623)	handful of bay leaves
00000270 (624)	clump of Pamtam kelp
00000271 (625)	bottle of apple vinegar
00000272 (626)	pinch of black pepper
00000273 (627)	pot of maple sugar
00000274 (628)	stick of cinnamon
00000275 (629)	ear of millioncorn
00000276 (630)	ogre pumpkin
00000277 (631)	bag of horo flour
00000278 (632)	kukuru bean
00000279 (633)	flask of olive oil
0000027A (634)	poetic parchment
0000027B (635)	clump of Windurstian Tea leaves
0000027C (636)	sprig of chamomile
0000027D (637)	vial of slime oil
0000027E (638)	sprig of sage
0000027F (639)	Ronfaure chestnut
00000280 (640)	chunk of copper ore
00000281 (641)	chunk of tin ore
00000282 (642)	chunk of zinc ore
00000283 (643)	chunk of iron ore
00000284 (644)	chunk of mythril ore
00000285 (645)	chunk of darksteel ore
00000286 (646)	chunk of adaman ore
00000287 (647)	chunk of molybdenum ore
00000288 (648)	copper ingot
00000289 (649)	bronze ingot
0000028A (650)	brass ingot
0000028B (651)	iron ingot
0000028C (652)	steel ingot
0000028D (653)	mythril ingot
0000028E (654)	darksteel ingot
0000028F (655)	adaman ingot
00000290 (656)	beastcoin
00000291 (657)	lump of tama-hagane
00000292 (658)	damascus ingot
00000293 (659)	tin ingot
00000294 (660)	bronze sheet
00000295 (661)	brass sheet
00000296 (662)	iron sheet
00000297 (663)	mythril sheet
00000298 (664)	darksteel sheet
00000299 (665)	adaman sheet
0000029A (666)	steel sheet
0000029B (667)	blessed mythril sheet
0000029C (668)	orichalcum sheet
0000029D (669)	molybdenum sheet
0000029E (670)	aluminum sheet
0000029F (671)	silver sheet
000002A0 (672)	handful of bronze scales
000002A1 (673)	handful of brass scales
000002A2 (674)	handful of iron scales
000002A3 (675)	handful of adaman scales
000002A4 (676)	handful of steel scales
000002A5 (677)	chunk of white steel
000002A6 (678)	chunk of aluminum ore
000002A7 (679)	aluminum ingot
000002A8 (680)	iron chain
000002A9 (681)	mythril chain
000002AA (682)	darksteel chain
000002AB (683)	adaman chain
000002AC (684)	aluminum chain
