Quests with a * have been scripted.

*0	Hat in Hand
*1	A Feather in One's Cap
2	A Crisis in the Making
*3	Making Amends
4	Making the Grade
*5	In a Pickle
6	Wondering Minstrel
*7	A Pose by Any Other Name
8	Making Amens!
9	The Moonlit Path
10	Star Struck
11	Blast from the Past
12	A Smudge on One's Record
13	Chasing Tales
*14	Food for Thought
15	Overnight Delivery
16	Water Way to Go!
17	Blue Ribbon Blues
18	The All-New C-3000
*19	The Postman Always KO's Twice
20	Early Bird Catches the Bookworm
21	Catch It If You Can!
23	All at Sea
*24	The All-New C-2000
*25	Mihgo's Amigo
26	Rock Racketeer
27	Chocobilious
*28	Teacher's Pet
*29	Reap What You Sow
*30	Glyph Hanger
31	The Fanged One
*32	Curses, Foiled Again!
33	Curses, Foiled...Again!?
*34	Mandragora-Mad
35	To Bee or Not to Bee?
*36	Truth, Justice, and the Onion Way!
*37	Making Headlines
38	Scooped!
*39	Creepy Crawlies
*40	Know One's Onions
41	Inspector's Gadget!
42	Onion Rings
43	A Greeting Cardian
44	Legendary Plan B
45	In a Stew
46	Let Sleeping Dogs Lie
47	Can Cardians Cry?
48	Wonder Wands
49	Heaven Cent 
50	Say It with Flowers
51	Hoist the Jelly, Roger
*52	Something Fishy
*53	To Catch a Falling Star
*60	Paying Lip Service
61	The Amazin' Scorpio
62	Twinstone Bonding
63	Curses, Foiled A-Golem!?
64	Acting in Good Faith
65	Flower Child
*66	The Three Magi				not completely finished
*67	Recollections				not completely finished
*68	The Root of the Problem		not completely finished
69	The Tenshodo Showdown
70	As Thick as Thieves
71	Hitting the Marquisate
72	Sin Hunting
73	Fire and Brimstone
74	Unbridled Passion
75	I Can Hear a Rainbow
76	Crying Over Onions
*77	Wild Card                            Not finished(Only the Toraimarai coffer part to get the keyitem. It doesn't update the quest status either).
78	The Promise
79	Nothing Matters
80	Toraimarai Turmoil
81	The Puppet Master
82	Class Reunion
83	Carbuncle Debacle
84	Eco-Warrior
85	From Saplings Grow
86	Orastery Woes
87	Blood and Glory
88	Escort for Hire (Windurst)
89	A Discerning Eye (Windurst)
90	Tuning In
91	Tuning Out
92	One Good Deed?
93	Waking Dreams
*94	Lure of the Wildcat (Windurst)
95	Babban Ny Mheillea
