000b	English         debug menu
002a	hat quest?	    Baren-Moren dialogue
002b	hat quest?	    Bondada dialogue
002c	hat quest?	    Baren-Moren dialogue
002d	hat quest?	    Baren-Moren dialogue
002e	hat quest?	    Baren-Moren dialogue
002f	hat quest?	    Baren-Moren dialogue
0030	hat quest		start
0031	hat quest		repeat start
0033	hat quest		during
0034	hat quest		end - check result
0035	hat quest		client
0036	hat quest		client
0037	hat quest		client
0038	hat quest		client
0039	hat quest		client
003a	hat quest		client
003b	hat quest		client
003c	hat quest		client
003d	hat quest		client
003e	hat quest		Bondada after HQ success
003f	hat quest		end - fail
0040	hat quest		end - fail
0041	hat quest		end - fail
0042	hat quest		end - success
0043	hat quest		end - success
0044	hat quest		end - success
0045	hat quest?		Bondada dialogue
0046	hat quest?		Bondada dialogue
0047	hat quest?		Bondada dialogue
0048	hat quest?		Bondada dialogue
0049	hat quest II	not enough fame
004a	hat quest II	part of 49
004b	hat quest II	start
004d	hat quest II	or part of 4b
004e	hat quest II	during
004f	hat quest II	end, recieve gil
0050	hat quest II	after, part of 4f
0051	hat quest II	after, part of 4f
0053	hat quest II?	Yung Yaam dialogue
0054	hat quest II	repeat start
0055	hat quest II	repeat during
0056	Angelica		regular dialogue
0057	Angelica		not enough fame
0058	Angelica		regular dialogue
0059	Angelica		regular dialogue
005a	Angelica		start quest??
005b	Angelica		quest success??
005c	Angelica		quest fail - need gear
005d	Angelica		quest fail - need gear
005f	Angelica		quest fail??
0060	Angelica		quest end - success
0065	Angelica		after
0066	Angelica		quest not offered
0067	Mokyokyo		non-windy dialogue
0068	Dagoza			non-windy dialogue
0069	Panna			windy dialogue
006a	Panna			non-windy dialogue
006b	Ten				regular dialogue
006c	Dagoza			windy dialogue
006d	Mokyokyo		during any mission accepted
006f	Mokyokyo		select mission
0070	missions		Dagoza
0071	missions		Panna
0072	missions		Ten
0073	missions		Dagoza
0074	missions		Panna
0075	missions		summons you to mission tarus
0076	Mission 1-1		start
0077	Mission 1-1		part of 76
0078	Mission 1-1		part of 76
0079	Mission 1-1		Dagoza during
007a	Mission 1-1		Panna during
007b	Mission 1-1		Mokyokyo during
007c	Mission 1-1		Ten during
007d	Mission 1-1		end - success
007e	Mission 1-1		Mokyokyo after
007f	Mission 1-1		Panna after
0080	Mission 1-1		Dagoza after
0081	Mission 1-1		Ten after
0082	Mission 1-2		start
0083	Mission 1-2		Mokyokyo during
0084	Mission 1-2		Dagoza during
0085	Mission 1-2		Panna during
0086	Mission 1-2		Ten during
0087	Mission 1-3		start
0088	Mission 1-3		Mokyokyo during
0089	Mission 1-3		Panna during
008a	Mission 1-3		Dagoza during
008b	Mission 1-3		Ten during
008c	Mission 1-3		Leppe-Hoppe gives you food
008d	Mission 1-3		Leppe-Hoppe after giving
008f	Mission 1-3		Ohbiru before getting food
0090	Mission 1-3		Ohbiru after getting food
0091	Mission 1-3		Kenapa-Keppa
0092	Mission 1-3		Leppe-Hoppe after Giddeus
0093	Mission 1-3		Leppe-Hoppe after 92
0094	Mission 1-3		end - rank up (2)
0095	Mission 1-3		Mokyokyo after
0096	Mission 1-3		Dagoza after
0097	Mission 1-3		Dagoza after??
0098	Mission 1-3		Panna after??
009a	Mission 1-3		Ten after
009b	Mission 2-1		start
009c	Mission 2-1		Mokyokyo during
009d	Mission 2-1		Dagoza during
009e	Mission 2-1		Panna during
009f	Mission 2-1		Ten during
00a0	Mission 2-1		Tosuka-Porika dialogue
00a1	Mission 2-1		Tosuka after a0
00a2	Mission 2-1		Hariga-Origa
00a3	Mission 2-1		Serukoko
00a4	Mission 2-1		Sohdede
00a5	Mission 2-1		Furakku-Norakku
00a6	Mission 2-1		Kotan-Moritan
00a7	Mission 2-1		Aora-Uora
00a8	Mission 2-1		end
00a9	Mission 2-1		Tosuka after
00aa	Mission 2-1		Hariga-Origa after
00ab	Mission 2-1		Serukoko after
00ac	Mission 2-1		Sohdede after
00ad	Mission 2-1		Furakku-Norakku after
00ae	Mission 2-1		Kotan-Moritan after
00af	Mission 2-1		Aora-Uora after
00b0	Mission 2-2		start
00b1	Mission 2-2		Mokyokyo during
00b2	Mission 2-2		Dagoza during
00b3	Mission 2-2		Panna during
00b4	Mission 2-2		Ten during
00b5	Mission 2-2		Moreno-Toeno repeat
00b6	Mission 2-2		Moreno-Toeno start
00b7	Mission 2-2		Moreno not enough time
00b8	Mission 2-2		Moreno end
00b9	Mission 2-2		Pechiru during
00ba	Mission 2-2		Fuepepe during
00bb 	Mission 2-2		Tauwawa during
00bc	Mission 2-2?	Kirarara dialogue
00bd	Mission 2-2?	Rukuku dialogue
00be	Mission 2-2?	Akkeke dialogue
00bf	Mission 2-2?	Koko Lihzeh dialogue
00c0	Mission 2-2?	Foi-Mui dialogue
00c2	Mission 2-2?	Paku-Nakku dialogue
00c3	Mission 2-2?	Chomoro dialogue
00c4	Mission 2-2?	Mimomo dialogue
00c6	Mission 2-2		end - critical fail
00c7	Mission 2-2		end - fail
00c8	Mission 2-2		end - success
00c9	Mission 2-2		end - HQ success
00ca	Mission 2-2r	fail - too long
00cb	Mission 2-2r	fail - too weak?
00cc	Mission 2-2r	not enough time
00cd	Mission 2-2r	end - fail
00ce	Mission 2-2r	end - success
00d0	Mission 2-2r?	end - fail
00d1	Mission 2-2r?	end - success
00d2	Mission 2-2r?	part of d1
00d3	Mission 2-3		start
00d4	Mission 2-3		Panna during
00d5	Mission 2-3		Dagoza during
00d6	Mission 2-3		Ten during
00d7	Mission 2-3		Mokyokyo during
00d8	Mission 3-1		start?
00d9	Mission 3-1		Mokyokyo during
00da	Mission 3-1		Panna during
00db	Mission 3-1		Dagoza during
00dc	Mission 3-1		Ten during
00dd	Mission 3-2		start
00de	Mission 3-2r	repeat start
00df	Mission 3-2		Mokyokyo during
00e0	Mission 3-2		Panna during
00e1	Mission 3-2		Dagoza during
00e2	Mission 3-2		Ten during
00e3	Mission 3-3		start
00e4	Mission 3-3		Mokyokyo during
00e5	Mission 3-3		Panna during
00e6	Mission 3-3		Dagoza during
00e7	Mission 3-3		Ten during
00e8	Mission 4-1		Mokyokyo during
00e9	Mission 4-1		Panna during
00ea	Mission 4-1		Dagoza during
00eb	Mission 4-1		Ten during
00ec	Mission 5-1		start
00ed	Mission 5-1		Mokyokyo during
00ee	Mission 5-1		Panna during
00ef	Mission 5-1		Dagoza during
00f0	Mission 5-1		Ten during
00f1	Mission 5-2		start
00f2	Mission 5-2		Mokyokyo during
00f3	Mission 5-2		Panna during
00f4	Mission 5-2		Dagoza during
00f5	Mission 5-2		Ten during
00f6	Mission 5-2		Panna after
00f7	Mission 5-2		Dagoza after
00f8	Mission 5-2		Ten after
00f9	Ranpi-Monpi		regular dialogue
00fb	Ranpi-Monpi		regular dialogue?
00ff	Maysoon			regular dialogue
0100	Ranpi-Monpi		dialogue
0102	Ranpi-Monpi		quest start
0103	Ranpi-Monpi		quest repeat start
0106	Ranpi-Monpi		quest during
0108	Ranpi quest		Rabiri during
010a	Ranpi quest		Maysoon during
010b	Ranpi quest		end
010c	Ranpi quest		Ranpi after
010d	Npopo			regular dialogue
010e	Ajen-Myoojen	regular dialogue
010f	Shatoto			regular dialogue
0110	Four of Hearts	regular dialogue
0111	Five of Hearts	regular dialogue
0112	Six of Hearts	regular dialogue
0113	Seven of Hearts	regular dialogue
0114	Eight of Hearts	regular dialogue
0115	Nine of Hearts	regular dialogue
0116	Anja-Enja		regular dialogue
0118	Churano-Shurano	day dialogue
0119	Churano-Shurano	night dialogue
011a	Mejina-Monjina	regular dialogue
011b	Ropunono		regular dialogue
011c	Ropunono		regular dialogue?
011d	Ropunono		regular dialogue?
011e	Mejina-Monjina	regular dialogue?
011f	Churano-Shurano	quest during?
0120	Ropunono		quest start?
0121	Ropunono		quest during
0122	Mejina			quest during
0123	Churano			quest after?
0124	Ropunono		quest end - success
0125	Ropunono		quest after
0126	Mejina			quest after
0127	Churano			quest after?
0128	Ropunono		quest end - fail
0129	Ropunono		fail after / repeat start?
012a	Mejina			repeat during
012b	Churano			repeat during
012c	Lago-Charago	regular dialogue
012d	Ohbiru-Dohbiru	regular dialogue
012e	Kenapa-Keppa	regular dialogue
012f	Kenapa-Keppa	regular dialogue?
0130	Kerutoto		regular dialogue
0131	Leppe-Hoppe		regular dialogue?
0132	Kerutoto		eating quest?
0133	Kenapa-Keppa	eating quest?
0134	Ohbiru			eating quest?
0135	Ohbiru			part of 134
0136	Kenapa			dialogue
0137	Leppe-Hoppe		eating quest?
0138	Kerutoto		dialogue
0139	Kerutoto		eating quest start
013a	Kerutoto		eating quest repeat start
013b	Kerutoto		her order
013c	Ohbiru			his order
013d	Ohbiru			after 13d
013e	Kenapa			his order
013f	Kenapa			his order
0140	Kenapa			his order
0141	Kenapa			his order
0142	Ohbiru			give his order
0143	Ohbiru			give wrong order
0144	Ohbiru			after giving food
0145	Ohbiru			give his order without 13c
0146	Ohbiru			give wrong order without 13c?
0147	Kenapa			give his order
0148	Kenapa			after giving
0149	Kenapa			needs food
014a	Kenapa			give his order without 13e
014b	Kenapa			give wrong order without 13e
014c	Kerutoto		give her order
014d	Kerutoto		after giving
014e	Kerutoto		give wrong order
014f	Kerutoto		after quest
0150	Kenapa			before delivery quest
0151	Kenapa			request
0152	Kenapa			deliver bag request
0153	Kenapa			quest start
